AlternativeNmae,Price,Code,FushonHouse,Names,type
MUSK AGAIBI,3500,EG 349,,مسك عجايبى,East
MUSC HADJRA,2400,7567,,مسك عربي (مكة ),East
MUSC HOLDER,3300,9688,,مسك متسلق,East
AOUD MAD,4250,EG 1169,العربية للعود,مضاوي,East
AOUD MAD,5200,EG 1436,العربية للعود,مضاوي HQ,East
NABILAH,3900,EG 1022,الوليف,نبيلة,East
ROSE,1500,9589,,ورد,East
WESSAL,3900,10681/2/ND,,وصال,East
JASMIN,1650,9574,,ياسمين,East
JASMIN,1700,9527,,ياسمين,East
KENZI,3900,EG 1332,زيرجوف,40عقدة,Niche
SEPTEMBRE,3700,EG 1329,كركدجان,724,Niche
ADOLIE,3750,EG 1042,كركدجان,ا لا روز,Niche
EDT AVER,3600,EG 1147,اكسنيليو,اتلاس فيفر,Niche
ARABI W.O,3300,10934/3/KD,توم فورد,اريبيان وود,Niche
EDT ODECLA,3800,EG 1081,ديور,اكسير العود,Niche
ALLISON,4600,EG 257,زيرجوف,اكسينتو,Niche
EDTF ARLINE,3650,EG 1133,زيرجوف,الاسكندرية II,Niche
EBBIO,3800,EG 1010,روجا,اليسيوم,Niche
APOSTROPHE,3800,EG 1450,نيشان,آني,Niche
ORFEO,3800,EG 1447,دي مارلي,اويان,Niche
EDTF ITALIA,4000,11030/2/MD,توم فورد,ايتاليان سايبرس,Niche
ELLIS,3950,EG 1033,سوسبيرو,ايربا بورا,Niche
CREATION,3500,EG 269,روبرتو كافالي,باراديسو,Niche
EDT BALZO,3300,EG 561,بايريدو بارفيوم,بال دي افريك,Niche
PAGO,3700,EG 1021,دي مارلي,برسيفال,Niche
EDT BARNELLO,4800,75.947,كركدجان,بكرات روج,Niche
BARNELLO,7200,EG 1441,كركدجان,بكرات روج HQ,Niche
BANJO,4300,EG 1232/3,ناسوماتو,بلاك افغانو,Niche
OXANA,4300,EG 185,توم فورد,بلاك اوركيد,Niche
BAO,3600,EG 1096,مانسيرا,بلاك جولد,Niche
BELPASSO,3600,EG 1013,ارماني برايف,بلو تركواز,Niche
BOPE,3600,EG 1309,زيرجوف,بلو هوب,Niche
BLAKE,4000,EG 267,ديور,بوا دارجون,Niche
BARI,3500,EG 1020,كازاموراتي,بوكيه ايديال,Niche
TAHIS,3900,EG 576,توم فورد,توباكو فانيليا,Niche
TODARO,3800,EG 1413,ديور,توباكو كالار,Niche
TORINO,3750,75.949,توم فورد,توسكان ليزر,Niche
GABON,3600,EG 1019,كازاموراتي,جران بالو,Niche
JODY,3800,EG 130,أمواج,جوبيلاشون,Niche
EDTH JASON,3300,EG 418,جيمي شو,جيمي شو,Niche
DAMINA,3600,EG 1168,زيرجوف,ديكاس,Niche
DABIANA,3700,EG 1038,دي مارلي,ديلينا,Niche
ROLFI,3850,EG 1114,مانسيرا,رد توباكو,Niche
RIVOLA,3850,EG 1026,مانسيرا,روز فانيليا,Niche
ANDREA,3500,EG 266,سوسبيرو,روسو افغانو,Niche
RUBEN,3700,EG 123,أمواج,ريفليكشن,Niche
EDTF SUSY,3700,EG 1134,دي مارلي,سافاناد,Niche
SABA,3300,EG 106,توم فورد,ساهارا نوار,Niche
EDT ARONITO,3600,EG 1117,اكسنيليو,سماء العمبر,Niche
SATURNE,3500,EG 1314,توم فورد,سوليل بلانك,Niche
SPHINX,3900,EG 1166,زيرجوف,سيمفونية,Niche
EDT SERVANE,3600,EG 1150,ميمو باريس,سينترا,Niche
EDTH SHERMAN,3700,EG 471,خليجي,77 شيخ,Niche
SHAHWA,3650,EG 1302,خليجي,عطر فيرمون,Niche
EDTH ARISTO,3500,EG 1155,مانسيرا,عود اكوا,Niche
EDT OLENGO,3900,EG 1111,لانكوم,عود بوكيه,Niche
ORIANA,3600,EG 1328,مونتال,عود دريم,Niche
EDT DELPHY,3700,EG 1131,روبرتو كافالي,عود سماوي,Niche
OLIERO,3600,EG 1049,كركدجان,عود سيلك مود,Niche
VICKY,3700,EG 1058,مونتال,فانيليا ابسلو,Niche
EDTH VERONE,3600,EG 206,توم فورد,فلفت اوركيد,Niche
VARONI,3400,EG 1015,دولس جابانا,فلفت عمبر سكين,Niche
FAZIO,3750,EG 560,اكسنيليو,فلير ناركوتيك,Niche
VISS,3500,EG 1156,اكسنيليو,فينينوم كيس,Niche
EDTF VENISE,3600,10987/4/KD,توم فورد,فيوليت بلوند,Niche
CRISTOBAL,3600,EG 1292,دي مارلي,كارلايل,Niche
CYRUS,3400,EG 299,توم فورد,كافى روز,Niche
KACIA,3500,EG 1048,دي مارلي,كالان,Niche
LERRY,3750,EG 1318/2,توم فورد,لوست شيري,Niche
LUMIERE,3600,EG 1167,زيرجوف,لونوسا,Niche
MILAZZO,3700,EG 1046,ميمو باريس,مارفا,Niche
EDT MAEL,3700,EG 1074,اكسنيليو,مسك لا نهائي,Niche
MONOPOLI,3700,EG 1000,توم فورد,ميتاليك,Niche
MAELLIE,3300,EG 1164,اكسنيليو,ميدنايت سبيشيال,Niche
EDT TRUE,3600,EG 1144,لولابو,نوار 29,Niche
EDTF NONO,3650,11080/4/LD,توم فورد,نوار دو نوار,Niche
PEROU,3700,EG 1030,توم فورد,وايت بتشولي,Niche
